Window_Size,N_Peaks,Overlap,Skip_First_K_Freqs,Selection_Method,Significance,Median_Hits_Top_Score,Average_Hits,Self_Matches,Unique_Self_Matches,Mean_F1_Score,Mean_Precision,Mean_Liberal_F1_Score,Mean_Liberal_Precision,Mean_Sharpness,DB_Size_MB,Runtime_find-matches,Runtime_create-db
40,3,10,2,deviation,0.001,1,1.06,203,195,0.000685699,0.000344014,0.0014874,0.000751144,0.970437,50.25,05:48,1:12:33
40,3,10,2,deviation,0.01,1,1.06,203,195,0.000685699,0.000344014,0.0014874,0.000751144,0.970437,50.25,06:08,1:12:28
40,3,10,3,deviation,0.001,1,1.06,203,195,0.000676212,0.000338928,0.00147211,0.0007401,0.979866,44.57,05:45,1:12:09
40,3,10,3,deviation,0.01,1,1.06,203,195,0.000676212,0.000338928,0.00147211,0.0007401,0.979866,44.57,05:41,1:12:09
40,5,10,2,deviation,0.01,1,1.06,203,195,0.000674471,0.00033837,0.00134888,0.000679093,0.963836,56.26,06:13,1:15:51
40,5,10,2,deviation,0.001,1,1.06,203,195,0.000674471,0.00033837,0.00134888,0.000679093,0.963836,56.26,06:11,1:13:59
40,5,10,3,deviation,0.01,1,1.06,203,195,0.000660345,0.000330945,0.00137904,0.000692612,0.975293,49.64,05:36,1:12:42
40,5,10,3,deviation,0.001,1,1.06,203,195,0.000660345,0.000330945,0.00137904,0.000692612,0.975293,49.64,05:39,1:14:19
40,0,10,2,deviation,0.01,1,1.06,203,195,0.00065977,0.000331002,0.00123722,0.000621693,0.955423,68.00,06:50,1:14:47
40,0,10,2,deviation,0.001,1,1.06,203,195,0.00065977,0.000331002,0.00123722,0.000621693,0.955423,68.00,06:49,1:14:03
40,3,10,1,deviation,0.001,1,1.06,203,195,0.000650926,0.000326169,0.001342,0.000674092,0.973285,52.08,06:00,1:12:40
40,3,10,1,deviation,0.01,1,1.06,203,195,0.000650926,0.000326169,0.001342,0.000674092,0.973285,52.08,05:24,1:13:05
40,3,10,0,deviation,0.001,1,1.06,203,195,0.000650926,0.000326169,0.001342,0.000674092,0.973285,52.08,06:14,1:14:04
40,3,10,0,deviation,0.01,1,1.06,203,195,0.000650926,0.000326169,0.001342,0.000674092,0.973285,52.08,05:33,1:13:38
40,0,10,3,deviation,0.01,1,1.06,203,195,0.000645908,0.000323705,0.00125575,0.000630139,0.969261,59.51,06:28,1:13:31
40,0,10,3,deviation,0.001,1,1.06,203,195,0.000645908,0.000323705,0.00125575,0.000630139,0.969261,59.51,06:26,1:13:13
40,5,10,1,deviation,0.01,1,1.06,203,195,0.000639913,0.000320636,0.00127059,0.000637904,0.966851,58.19,05:54,1:15:39
40,5,10,1,deviation,0.001,1,1.06,203,195,0.000639913,0.000320636,0.00127059,0.000637904,0.966851,58.19,05:51,1:14:44
