Window_Size,N_Peaks,Overlap,Skip_First_K_Freqs,Selection_Method,Significance,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
50,3,25,2,absolute,0.001,0.00368442,0.00234758,0.10663,0.0063569,0.906016,00:51
50,0,25,2,absolute,0.001,0.00366012,0.00233543,0.106775,0.00632117,0.9127,00:51
50,5,25,2,absolute,0.001,0.00366012,0.00233543,0.106775,0.00632117,0.9127,00:49
50,3,13,2,absolute,0.01,0.0034049,0.00196881,0.158629,0.00487115,1.8888,01:23
50,3,13,3,absolute,0.01,0.00337452,0.00197083,0.154932,0.00488644,1.73769,01:24
50,5,13,2,absolute,0.01,0.00336034,0.00193842,0.159591,0.00479537,1.93012,01:22
50,0,13,2,absolute,0.01,0.00336034,0.00193842,0.159583,0.00479513,1.93052,01:24
50,3,25,3,none,0.01,0.00333198,0.00199919,0.196202,0.0039187,2.64432,02:13
50,5,25,3,none,0.001,0.00332793,0.00201742,0.104598,0.00564085,0.898521,00:51
50,0,25,3,none,0.001,0.00332591,0.00201742,0.104681,0.00563691,0.920194,01:06
50,3,25,3,absolute,0.001,0.00325299,0.00199716,0.0997063,0.00526008,0.823375,00:48
50,5,13,3,none,0.001,0.00323476,0.00219972,0.101955,0.00742877,2.26068,01:33
50,0,25,3,absolute,0.001,0.00323273,0.00198704,0.099759,0.00522967,0.829856,00:50
50,5,25,3,absolute,0.001,0.00323273,0.00198704,0.099759,0.00522968,0.829856,00:46
50,0,13,3,none,0.001,0.00323071,0.00219972,0.103038,0.00739746,7.01539,02:03
50,0,13,3,absolute,0.01,0.00322463,0.00186145,0.155878,0.00450209,1.77476,01:22
50,5,13,3,absolute,0.01,0.00322463,0.00186145,0.15589,0.00450233,1.77436,01:25
50,3,25,2,absolute,0.01,0.00308689,0.00174397,0.221545,0.00355844,3.55378,02:40
50,0,25,2,absolute,0.01,0.00302613,0.00169739,0.222941,0.00347457,3.64695,02:36
50,5,25,2,absolute,0.01,0.0030241,0.00169334,0.222836,0.00347389,3.64493,02:25
50,3,25,3,none,0.001,0.00301398,0.00173587,0.0968625,0.00459645,0.798866,00:45
50,0,13,2,absolute,0.001,0.00301398,0.00198299,0.0665222,0.00733413,0.543245,00:32
50,5,13,2,absolute,0.001,0.00301398,0.00198299,0.0665222,0.00733414,0.543245,00:33
50,3,13,2,absolute,0.001,0.00299575,0.00197083,0.0662751,0.00729708,0.540004,00:34
50,3,13,3,none,0.001,0.00294916,0.00197488,0.0953717,0.00663668,1.02613,01:06
50,5,25,2,none,0.001,0.00290055,0.00188171,0.0775005,0.00412441,3.53048,04:40
50,0,25,2,none,0.001,0.0028965,0.00187766,0.0775896,0.00411376,3.55216,03:46
50,3,13,3,none,0.01,0.00286814,0.00162447,0.158238,0.00329207,2.16974,02:52
