Window_Size,N_Peaks,Overlap,Hash_Use_First_Appearance,Quantile,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
50,3,0,True,.1,0.0025076,0.00124367,0.223454,0.00276792,8.22017,00:17
50,3,0,False,.1,0.0025076,0.00124367,0.223454,0.00276792,8.22017,00:15
50,3,13,True,.1,0.00168726,0.000802107,0.243318,0.00198339,11.3133,00:21
50,3,13,False,.1,0.00168726,0.000802107,0.243318,0.00198339,11.3133,00:16
50,3,25,False,.1,0.0016508,0.000775775,0.27047,0.00196533,17.0494,00:26
50,3,25,True,.1,0.0016508,0.000775775,0.27047,0.00196533,17.0494,00:19
40,3,0,False,.1,0.0015475,0.000708933,0.251096,0.00189857,10.8973,00:17
40,3,0,True,.1,0.0015475,0.000708933,0.251096,0.00189857,10.8973,00:16
50,3,0,True,.2,0.00152927,0.000668422,0.343429,0.00159783,29.8795,00:15
50,3,0,False,.2,0.00152927,0.000668422,0.343429,0.00159783,29.8795,00:15
50,5,0,True,.1,0.00148066,0.000674499,0.289753,0.00179443,21.2368,00:18
50,5,0,False,.1,0.00148066,0.000674499,0.289753,0.00179443,21.2368,00:19
40,3,10,False,.1,0.00128418,0.00058335,0.273917,0.00150529,14.6149,00:17
40,3,10,True,.1,0.00128418,0.00058335,0.273917,0.00150529,14.6149,00:16
50,3,13,False,.2,0.00119708,0.000510431,0.372909,0.00121678,38.7312,00:19
50,3,13,True,.2,0.00119708,0.000510431,0.372909,0.00121678,38.7312,00:18
50,3,0,False,.3,0.00118898,0.000534738,0.400411,0.00124316,60.1744,00:19
50,3,0,True,.3,0.00118898,0.000534738,0.400411,0.00124316,60.1744,00:22
50,5,13,False,.1,0.00116265,0.000451691,0.313824,0.00128952,29.441,00:21
50,5,13,True,.1,0.00116265,0.000451691,0.313824,0.00128952,29.441,00:20
30,3,8,False,.1,0.00106542,0.000463844,0.308821,0.00133842,19.5872,00:19
30,3,8,True,.1,0.00106542,0.000463844,0.308821,0.00133842,19.5872,00:19
40,3,20,False,.1,0.00103302,0.000417257,0.312263,0.00117594,22.6388,00:24
40,3,20,True,.1,0.00103302,0.000417257,0.312263,0.00117594,22.6388,00:19
30,3,0,False,.1,0.00099048,0.000415232,0.284002,0.00120776,14.3832,00:22
30,3,0,True,.1,0.00099048,0.000415232,0.284002,0.00120776,14.3832,00:30
50,3,38,False,.1,0.000988455,0.000401053,0.33938,0.00111583,36.8501,00:23
50,3,38,True,.1,0.000988455,0.000401053,0.33938,0.00111583,36.8501,00:24
40,5,0,True,.1,0.00094997,0.000364594,0.304697,0.00111923,23.0059,00:18
40,5,0,False,.1,0.00094997,0.000364594,0.304697,0.00111923,23.0059,00:17
50,5,0,False,.2,0.000945919,0.000409155,0.383298,0.00108185,60.3178,00:22
50,5,0,True,.2,0.000945919,0.000409155,0.383298,0.00108185,60.3178,00:21
50,5,25,True,.1,0.000937816,0.000397002,0.351845,0.00109332,46.4537,00:22
50,5,25,False,.1,0.000937816,0.000397002,0.351845,0.00109332,46.4537,00:23
50,3,25,False,.2,0.000929714,0.000411181,0.409174,0.00102132,55.2617,00:34
50,3,25,True,.2,0.000929714,0.000411181,0.409174,0.00102132,55.2617,00:20
40,3,0,True,.2,0.000917561,0.000366619,0.366362,0.0010247,35.3498,00:26
40,3,0,False,.2,0.000917561,0.000366619,0.366362,0.0010247,35.3498,00:23
50,3,13,True,.3,0.000864898,0.000338262,0.434011,0.000865016,83.0731,00:23
50,3,13,False,.3,0.000864898,0.000338262,0.434011,0.000865016,83.0731,00:23
40,5,10,True,.1,0.000820336,0.000374721,0.335777,0.00100483,31.157,00:19
40,5,10,False,.1,0.000820336,0.000374721,0.335777,0.00100483,31.157,00:21
50,3,0,True,.4,0.000804132,0.000362568,0.435513,0.000887075,96.8007,00:23
50,3,0,False,.4,0.000804132,0.000362568,0.435513,0.000887075,96.8007,00:22
50,3,25,True,.3,0.000798055,0.000338262,0.467679,0.000851757,126.254,00:25
50,3,25,False,.3,0.000798055,0.000338262,0.467679,0.000851757,126.254,00:23
30,5,8,True,.1,0.000791979,0.000340288,0.350476,0.000998791,31.3599,00:19
30,5,8,False,.1,0.000791979,0.000340288,0.350476,0.000998791,31.3599,00:23
30,3,15,True,.1,0.000765647,0.000322058,0.349907,0.0009101,29.2773,00:20
30,3,15,False,.1,0.000765647,0.000322058,0.349907,0.0009101,29.2773,00:19
40,3,0,True,.3,0.000729188,0.000301803,0.429425,0.000803831,76.3516,00:18
40,3,0,False,.3,0.000729188,0.000301803,0.429425,0.000803831,76.3516,00:19
40,3,10,False,.2,0.000727162,0.000307879,0.386156,0.000841624,45.1936,00:20
40,3,10,True,.2,0.000727162,0.000307879,0.386156,0.000841624,45.1936,00:22
40,3,30,False,.1,0.00070083,0.000261292,0.379255,0.000778567,47.522,00:24
40,3,30,True,.1,0.00070083,0.000261292,0.379255,0.000778567,47.522,00:22
40,5,20,True,.1,0.000692728,0.00025319,0.376459,0.000782323,48.6788,00:21
40,5,20,False,.1,0.000692728,0.00025319,0.376459,0.000782323,48.6788,00:21
30,3,8,False,.2,0.000664371,0.000273445,0.404341,0.000785174,58.2242,00:22
30,3,8,True,.2,0.000664371,0.000273445,0.404341,0.000785174,58.2242,00:21
40,3,20,False,.2,0.000656269,0.000232935,0.421691,0.000709088,67.0598,00:21
40,3,20,True,.2,0.000656269,0.000232935,0.421691,0.000709088,67.0598,00:23
50,5,13,False,.2,0.000654243,0.000249139,0.404521,0.000742556,81.3002,00:23
50,5,13,True,.2,0.000654243,0.000249139,0.404521,0.000742556,81.3002,00:23
50,5,0,False,.3,0.000648167,0.000277496,0.458092,0.000749336,132.969,00:25
50,5,0,True,.3,0.000648167,0.000277496,0.458092,0.000749336,132.969,00:24
20,3,0,True,.1,0.000640065,0.000291675,0.316634,0.000939832,16.6467,00:18
20,3,0,False,.1,0.000640065,0.000291675,0.316634,0.000939832,16.6467,00:17
50,5,25,False,.2,0.000603605,0.000234961,0.427952,0.000705867,122.407,00:22
50,5,25,True,.2,0.000603605,0.000234961,0.427952,0.000705867,122.407,00:22
30,5,0,True,.1,0.000595503,0.000224833,0.320909,0.00074765,23.1841,00:18
30,5,0,False,.1,0.000595503,0.000224833,0.320909,0.00074765,23.1841,00:17
30,5,15,True,.1,0.000591452,0.000226858,0.386553,0.000705594,45.1594,00:20
30,5,15,False,.1,0.000591452,0.000226858,0.386553,0.000705594,45.1594,00:21
40,5,0,True,.2,0.00058335,0.000220782,0.401805,0.000694903,66.2416,00:18
40,5,0,False,.2,0.00058335,0.000220782,0.401805,0.000694903,66.2416,00:21
20,5,0,True,.1,0.000550942,0.000243063,0.336559,0.00080231,20.3794,00:18
20,5,0,False,.1,0.000550942,0.000243063,0.336559,0.00080231,20.3794,00:17
50,5,0,False,.4,0.00054284,0.000234961,0.487737,0.000632789,230.852,00:24
