Window_Size,N_Peaks,Overlap,Skip_First_K_Freqs,Selection_Method,Significance,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
50,3,13,3,deviation,0.001,0.00182297,0.000834515,0.290768,0.00186608,13.0012,05:08
50,3,13,3,deviation,0.01,0.00182297,0.000834515,0.290768,0.00186608,13.0012,05:47
50,5,13,3,deviation,0.01,0.0017541,0.000808183,0.29378,0.00180853,15.2874,05:37
50,5,13,3,deviation,0.001,0.0017541,0.000808183,0.29378,0.00180853,15.2874,06:41
40,3,10,1,deviation,0.001,0.00169131,0.000791979,0.284555,0.00150324,11.3828,04:42
40,3,10,1,deviation,0.01,0.00169131,0.000791979,0.284555,0.00150324,11.3828,04:22
40,3,10,0,deviation,0.001,0.00169131,0.000791979,0.284555,0.00150324,11.3828,04:36
40,3,10,0,deviation,0.01,0.00169131,0.000791979,0.284555,0.00150324,11.3828,04:36
50,0,13,3,deviation,0.001,0.00167713,0.000781851,0.294904,0.00175208,21.2578,05:56
50,0,13,3,deviation,0.01,0.00167713,0.000781851,0.294904,0.00175208,21.2578,06:16
40,5,10,0,deviation,0.01,0.00163257,0.000759571,0.286123,0.00145255,13.695,04:25
40,5,10,0,deviation,0.001,0.00163257,0.000759571,0.286123,0.00145255,13.695,04:36
40,5,10,1,deviation,0.01,0.00163257,0.000759571,0.286123,0.00145255,13.695,04:34
40,5,10,1,deviation,0.001,0.00163257,0.000759571,0.286123,0.00145255,13.695,04:34
50,3,13,0,deviation,0.01,0.00160421,0.0007778,0.313867,0.00157652,16.0423,06:15
50,3,13,0,deviation,0.001,0.00160421,0.0007778,0.313867,0.00157652,16.0423,06:09
50,3,13,1,deviation,0.001,0.00160421,0.0007778,0.313867,0.00157652,16.0423,06:14
50,3,13,1,deviation,0.01,0.00160421,0.0007778,0.313867,0.00157652,16.0423,05:57
40,3,10,3,deviation,0.01,0.00158598,0.000723111,0.259601,0.00148948,9.17825,03:42
40,3,10,3,deviation,0.001,0.00158598,0.000723111,0.259601,0.00148948,9.17825,03:48
40,3,10,2,deviation,0.01,0.00156775,0.000725137,0.28082,0.00139056,11.0828,04:17
40,3,10,2,deviation,0.001,0.00156775,0.000725137,0.28082,0.00139056,11.0828,04:36
50,5,13,0,deviation,0.01,0.00155358,0.000757545,0.316028,0.00152909,18.8453,06:35
50,5,13,0,deviation,0.001,0.00155358,0.000757545,0.316028,0.00152909,18.8453,06:38
50,5,13,1,deviation,0.01,0.00155358,0.000757545,0.316028,0.00152909,18.8453,06:31
50,5,13,1,deviation,0.001,0.00155358,0.000757545,0.316028,0.00152909,18.8453,06:45
40,5,10,3,deviation,0.001,0.00154547,0.000704882,0.261252,0.00143721,11.0047,03:33
40,5,10,3,deviation,0.01,0.00154547,0.000704882,0.261252,0.00143721,11.0047,03:33
40,0,10,0,deviation,0.001,0.0015394,0.000715009,0.285712,0.00139114,18.238,05:25
40,0,10,0,deviation,0.01,0.0015394,0.000715009,0.285712,0.00139114,18.238,05:29
40,0,10,1,deviation,0.001,0.0015394,0.000715009,0.285712,0.00139114,18.238,05:16
40,0,10,1,deviation,0.01,0.0015394,0.000715009,0.285712,0.00139114,18.238,05:19
50,3,13,2,deviation,0.001,0.00151306,0.000710958,0.312662,0.00148783,15.6461,06:35
50,3,13,2,deviation,0.01,0.00151306,0.000710958,0.312662,0.00148783,15.6461,06:09
40,5,10,2,deviation,0.001,0.00150496,0.000690703,0.282593,0.00133931,13.3737,04:27
40,5,10,2,deviation,0.01,0.00150496,0.000690703,0.282593,0.00133931,13.3737,04:27
50,0,13,1,deviation,0.01,0.00149078,0.000723111,0.316364,0.00147025,26.3441,08:04
50,0,13,1,deviation,0.001,0.00149078,0.000723111,0.316364,0.00147025,26.3441,08:06
50,0,13,0,deviation,0.01,0.00149078,0.000723111,0.316364,0.00147025,26.3441,08:25
50,0,13,0,deviation,0.001,0.00149078,0.000723111,0.316364,0.00147025,26.3441,08:17
40,0,10,3,deviation,0.01,0.00148673,0.000680575,0.261126,0.00138451,14.5625,04:15
40,0,10,3,deviation,0.001,0.00148673,0.000680575,0.261126,0.00138451,14.5625,04:22
50,5,13,2,deviation,0.001,0.00146243,0.000692728,0.314871,0.00144067,18.4213,06:56
50,5,13,2,deviation,0.01,0.00146243,0.000692728,0.314871,0.00144067,18.4213,07:01
40,0,10,2,deviation,0.01,0.00142192,0.000656269,0.282054,0.00128552,17.8756,05:20
40,0,10,2,deviation,0.001,0.00142192,0.000656269,0.282054,0.00128552,17.8756,05:25
50,0,13,2,deviation,0.001,0.00139558,0.00066032,0.315317,0.00138107,25.8444,08:06
50,0,13,2,deviation,0.01,0.00139558,0.00066032,0.315317,0.00138107,25.8444,08:40
50,3,25,3,deviation,0.001,0.00128013,0.000621835,0.350646,0.00137558,20.7685,07:11
50,3,25,3,deviation,0.01,0.00128013,0.000621835,0.350646,0.00137558,20.7685,07:43
50,5,25,3,deviation,0.01,0.00126393,0.000613733,0.353034,0.0013534,21.4928,07:35
50,5,25,3,deviation,0.001,0.00126393,0.000613733,0.353034,0.0013534,21.4928,08:04
50,0,25,3,deviation,0.01,0.00125987,0.000609682,0.353318,0.0013485,21.5362,08:09
50,0,25,3,deviation,0.001,0.00125987,0.000609682,0.353318,0.0013485,21.5362,07:45
50,3,25,1,deviation,0.001,0.00122139,0.00058335,0.337213,0.00118872,25.2477,12:06
50,3,25,1,deviation,0.01,0.00122139,0.00058335,0.337213,0.00118872,25.2477,11:59
50,3,25,0,deviation,0.01,0.00122139,0.00058335,0.337213,0.00118872,25.2477,11:32
