Window_Size,N_Peaks,Overlap,Significance,Mean_Frequencies_Per_Window,Mean_Frequencies_Per_Window_Without_First_npeaks_Freqs,Mean_Quantile_Without_First_npeaks_Freqs
50,3,25,5,3.0,0.95,0.19
50,3,25,.1,2.87,1.05,1.0
50,3,25,.01,2.37,0.56,1.0
50,3,25,.001,2.01,0.21,0.99
50,2,25,5,2.0,0.11,0.05
50,2,25,.1,1.96,0.19,0.84
50,2,25,.01,1.83,0.07,0.46
50,2,25,.001,1.8,0.05,0.15
50,1,25,5,1.0,0.07,0.02
50,1,25,.1,0.99,0.11,0.89
50,1,25,.01,0.93,0.04,0.58
50,1,25,.001,0.91,0.02,0.18
50,3,38,5,3.0,0.96,0.18
50,3,38,.1,2.9,1.03,1.0
50,3,38,.01,2.42,0.56,1.0
50,3,38,.001,2.06,0.21,0.99
50,2,38,5,2.0,0.12,0.04
50,2,38,.1,1.97,0.17,0.74
50,2,38,.01,1.88,0.08,0.36
50,2,38,.001,1.85,0.06,0.11
50,1,38,5,1.0,0.06,0.01
50,1,38,.1,0.99,0.09,0.83
50,1,38,.01,0.95,0.04,0.53
50,1,38,.001,0.94,0.02,0.18
50,3,13,5,2.99,0.95,0.21
50,3,13,.1,2.85,1.07,1.0
50,3,13,.01,2.32,0.56,1.0
50,3,13,.001,1.97,0.22,0.99
50,2,13,5,2.0,0.12,0.06
50,2,13,.1,1.95,0.22,0.87
50,2,13,.01,1.79,0.07,0.53
50,2,13,.001,1.76,0.04,0.17
50,1,13,5,1.0,0.08,0.02
50,1,13,.1,0.99,0.12,0.92
50,1,13,.01,0.91,0.04,0.65
50,1,13,.001,0.89,0.02,0.22
40,3,20,5,2.99,0.93,0.17
40,3,20,.1,2.83,0.98,1.0
40,3,20,.01,2.26,0.42,0.99
40,3,20,.001,1.95,0.12,0.98
40,2,20,5,2.0,0.09,0.06
40,2,20,.1,1.95,0.14,0.82
40,2,20,.01,1.85,0.05,0.4
40,2,20,.001,1.83,0.03,0.1
40,1,20,5,1.0,0.06,0.03
40,1,20,.1,0.99,0.08,0.88
40,1,20,.01,0.94,0.03,0.52
40,1,20,.001,0.93,0.02,0.12
40,3,30,5,2.99,0.94,0.16
40,3,30,.1,2.86,0.96,1.0
40,3,30,.01,2.31,0.43,0.99
40,3,30,.001,1.99,0.12,0.98
40,2,30,5,2.0,0.1,0.04
40,2,30,.1,1.96,0.13,0.7
40,2,30,.01,1.89,0.06,0.29
40,2,30,.001,1.88,0.05,0.06
40,1,30,5,1.0,0.05,0.02
40,1,30,.1,0.99,0.07,0.81
40,1,30,.01,0.96,0.03,0.44
40,1,30,.001,0.95,0.02,0.11
40,3,10,5,2.98,0.93,0.2
40,3,10,.1,2.81,0.99,1.0
40,3,10,.01,2.23,0.43,1.0
40,3,10,.001,1.93,0.14,0.98
40,2,10,5,2.0,0.09,0.08
40,2,10,.1,1.94,0.17,0.86
40,2,10,.01,1.82,0.05,0.45
40,2,10,.001,1.79,0.03,0.1
40,1,10,5,1.0,0.06,0.03
40,1,10,.1,0.98,0.1,0.9
40,1,10,.01,0.92,0.03,0.54
40,1,10,.001,0.91,0.02,0.13
30,3,15,5,2.96,0.88,0.17
30,3,15,.1,2.76,0.86,1.0
30,3,15,.01,2.16,0.28,0.99
30,3,15,.001,1.92,0.05,0.92
30,2,15,5,2.0,0.08,0.07
30,2,15,.1,1.94,0.09,0.81
30,2,15,.01,1.88,0.03,0.36
30,2,15,.001,1.87,0.02,0.07
30,1,15,5,1.0,0.04,0.03
30,1,15,.1,0.98,0.06,0.87
30,1,15,.01,0.95,0.02,0.48
30,1,15,.001,0.94,0.01,0.12
30,3,23,5,2.97,0.88,0.17
30,3,23,.1,2.78,0.86,1.0
30,3,23,.01,2.19,0.28,0.99
30,3,23,.001,1.96,0.05,0.92
30,2,23,5,2.0,0.08,0.04
30,2,23,.1,1.96,0.08,0.71
30,2,23,.01,1.91,0.04,0.27
30,2,23,.001,1.9,0.03,0.05
30,1,23,5,1.0,0.03,0.02
30,1,23,.1,0.99,0.05,0.83
30,1,23,.01,0.97,0.02,0.45
30,1,23,.001,0.96,0.01,0.12
30,3,8,5,2.96,0.88,0.19
30,3,8,.1,2.73,0.87,1.0
30,3,8,.01,2.13,0.29,0.99
30,3,8,.001,1.9,0.07,0.95
30,2,8,5,2.0,0.08,0.07
30,2,8,.1,1.93,0.1,0.84
30,2,8,.01,1.85,0.03,0.39
30,2,8,.001,1.84,0.02,0.08
30,1,8,5,1.0,0.05,0.04
30,1,8,.1,0.98,0.07,0.89
30,1,8,.01,0.94,0.02,0.5
30,1,8,.001,0.93,0.01,0.12
